departamento,distrito,idx_1,idx_2,nombre_1,nombre_2,direccion_1,direccion_2,similitud
CHIMALTENANGO,04-002,102,103,CENTRO DE ESTUDIOS TCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2),CENTRO DE ESTUDIOS TCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),3A. CALLE 6-125 ZONA 4,3A. CALLE 6-125 ZONA 4,100
CHIMALTENANGO,04-027,404,928,COLEGIO 'LICEO INTEGRAL CIENTIFICO EN COMPUTACION,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4A. AVE. 5-80 ZONA 2,4A. AVENIDA 5-80 ZONA 2,100
CIUDAD CAPITAL,01-104,2475,2476,LICEO CRISTIANO CIENCIA,LICEO CRISTIANO CIENCIA NO. 2,"DIAGONAL 25, 45-55 COLONIA LA ESTANCIA, DIAGONAL 25, 45-55 COLONIOA LA ESTANCIA","LOTE 8 ""A"" , SECCION I, COLONIA ILUSIONES",90
CIUDAD CAPITAL,01-301,2119,2120,INSTITUTO NORMAL PARA SEORITAS CENTRO AMERICA,INSTITUTO NORMAL PARA SEORITAS CENTRO AMERICA (I.N.C.A.),1A CALLE 2-64,1A. CALLE C 2-29,92
CIUDAD CAPITAL,01-302,754,792,COLEGIO EVANGELICO MIXTO 'FRANCISCO G. PENZOTTI,COLEGIO EVANGLICO MIXTO FRANCISCO G. PENZOTTI,4A. AVE. 31-49,4A. AVENIDA 31-49,99
CIUDAD CAPITAL,01-312,1863,1873,INSTITUTO DE EDUCACION DIVERSIFICADA 'RAFAEL LANDIVAR,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,8A CALLE 2-46,8A CALLE 2-46,100
CIUDAD CAPITAL,"01-317, 01-403",2587,2588,LICEO HISPANOAMERICANO,LICEO HISPANOAMERICANO NO. 2,"1A. AVENIDA 7-12, 1ERA. AV. 7-12","10A. AVENIDA 11-27, 1A. AVENIDA 7-12, 2A. CALLE 7-11, 8A. CALLE 0-62",90
CIUDAD CAPITAL,01-318,964,999,COLEGIO MIXTO 'CRISTIANO GUATEMALTECO,COLEGIO MIXTO CRISTIANO GUATEMALTECO,13 CALLE 2-30,13 CALLE 2-30,100
CIUDAD CAPITAL,01-403,1935,1936,INSTITUTO GUATEMALTECO DE EDUCACIN RADIOFNICA IGER,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),"11 AVENIDA 18-45, CIUDAD NUEVA",11 AVENIDA 18-45 CIUDAD NUEVA,98
CIUDAD CAPITAL,01-405,1925,1926,INSTITUTO EVANGELICO AMERICA LATINA (CURSOS DE EXTENSION),INSTITUTO EVANGELICO AMERICA LATINA CURSOS DE EXTENSION (POR MADUREZ),3A AVE. 1-44 (PAMPLONA),3A. AV. 1-44,90
CIUDAD CAPITAL,01-620,1131,1132,COLEGIO MIXTO SAN PEDRO DAMIAN,COLEGIO MIXTO SAN PEDRO DAMIN NO. 3,8A. AVENIDA 01-41 COLONIA LA FLORIDA ZONA 19,"8A. AVENIDA 1-31 ZONA 19, COLONIA LA FLORIDA",91
