ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
'EL BOSQUE',11-01-0809-46,11-004,RETALHULEU,RETALHULEU,CANTON DOLORES ZONA 6 FINCA EL BOSQUE,77714225,MIGUEL ANGEL ARMAS ROCHA,MARCO ANTONIO DEL CID FLORES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,'EL BOSQUE'
'ESCUELA NORMAL PARTICULAR DEL SUR',06-08-0257-46,06-012,SANTA ROSA,CHIQUIMULILLA,BARRIO SAN SEBASTIAN,78849706,SIRIA ILEANA GONZALEZ REYES DE SIERRA,LISANDRO ABENAMAR FLORES CARBAJAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,'ESCUELA NORMAL PARTICULAR DEL SUR'
'INSTITUTO MUNICIPAL DE MAGISTERIO INTERCULTURAL',14-18-5508-46,14-029,QUICHE,CANILLA,"1A. AVENIDA 5-31 ZONA 3, CANILLA",49870911,YORJAN ALEXIS CRUZ MÉNDEZ,NORMA LETICIA GRAVE ZAPETA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,'INSTITUTO MUNICIPAL DE MAGISTERIO INTERCULTURAL'
'TECNOLOGICO MODERNO' CENTRO EDUCACIONAL,03-01-0880-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,9A. CALLE ORIENTE N-13 A,78328255,ZOILA ESTHELA JONFE OROZCO,ENIO PAUL ALVAREZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,'TECNOLOGICO MODERNO' CENTRO EDUCACIONAL
ACADEMIA COMERCIAL E INSTITUTO LOURDES,"01-08-0346-46, 01-08-0348-46, 01-08-0869-46, 01-08-1735-46","01-603, 01-621",GUATEMALA,MIXCO,"5A. AVENIDA 6-51 ""A "" ZONA 1, 5A. AVENIDA 6-51 ""A"" ZONA 1","55184534, 55319926","MARTA LUZ BETETA ORTIZ DE JORDAN, ROSA ALBELIA ARDON DE MOTTA",ESTEBAN TOCON XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA OCCIDENTE,"ACADEMIA COMERCIAL E INSTITUTO ""LOURDES"", ACADEMIA COMERCIAL E INSTITUTO LOURDES"
ACADEMIA DE ESTUDIOS AVANZADOS F 15,00-13-7170-46,01-501,CIUDAD CAPITAL,ZONA 13,15 AVENIDA A 24-08,23322290,JULIO JACOBO GIL URBINA,ALMA ILEANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ACADEMIA DE ESTUDIOS AVANZADOS F-15
ANTIGUA GREEN SCHOOL,03-01-0280-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,CALLE DEL PORTAL LOTE 11,78323445,ZOILA ESTHELA JONFE OROZCO,CLAUDIA MARÍA LÓPEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,ANTIGUA GREEN SCHOOL
ASOCIACIN DE MAESTROS DE EDUCACIN RURAL DE GUATEMALA,"13-17-0080-46, 13-26-0220-46, 13-26-0236-46","13-030, 13-043",HUEHUETENANGO,"SANTA CRUZ BARILLAS, SANTA EULALIA","2A. CALLE 6-35, ZONA 6, 2A. CALLE 6-35, ZONA 6, CABECERA MUNICIPAL, CABECERA MUNICIPAL, SANTA EULALIA","30429444, 31207507","ARACELY FIGUEROA URBINA, JUAN CARLOS MORALES GONZALEZ","ALBERTO EFRAÍN RAMÓN DIEGO, DEMOSTENES MATEO SEBASTIAN MARTIN",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,"BILINGUE, MONOLINGUE","SIN JORNADA, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL (FIN DE SEMANA), SEMIPRESENCIAL (UN DÍA A LA SEMANA)",HUEHUETENANGO,"ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA, ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-"
CAB SCHOOL PUERTO BARRIOS,18-01-0413-46,18-008,IZABAL,PUERTO BARRIOS,"RIO CACAO, KILOMETRO 292, RUTA AL ATLANTICO",59899442,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,ROSSANA AIMÉE CHIAPAS GALLARDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,CAB SCHOOL PUERTO BARRIOS
CEEX COATEPEQUE,09-20-0126-46,09-012,QUETZALTENANGO,COATEPEQUE,"3RA AVENIDA 5-00, BARRIO SAN FRANCISCO",34988123,JUAN JOSE COLOP COLOP,MARTA VIRGINIA BARRIOS SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,CEEX-COATEPEQUE
